wikidata_id,name,country,latitude,longitude,website,founded,area_ha,wikidata_url,source
Q3064716,Botaniska trädgården,Sweden,55.70388889,13.20277778,http://www.botaniskatradgarden.se/,1867-01-01,,http://www.wikidata.org/entity/Q3064716,Wikidata
Q2859707,Arboretum de Grignon,France,48.8476,1.9433,,,,http://www.wikidata.org/entity/Q2859707,Wikidata
Q2859701,Arboretum d'Amance,France,48.7513,6.336,https://www.arboretum-amance.fr/,1900-10-19,,http://www.wikidata.org/entity/Q2859701,Wikidata
Q2739331,Jardin des Plantes d'Angers,France,47.4748,-0.5445,,1740-01-01,,http://www.wikidata.org/entity/Q2739331,Wikidata
Q2743795,Jardin botanique de l'Université de Strasbourg,France,48.583611111,7.766666666,http://jardin-botanique.unistra.fr,,,http://www.wikidata.org/entity/Q2743795,Wikidata
Q2859709,Arboretum de l'Hort de Dieu,France,44.116977777,3.583038888,,,,http://www.wikidata.org/entity/Q2859709,Wikidata
Q2859717,Poërop Arboretum,France,48.357,-3.74,,,,http://www.wikidata.org/entity/Q2859717,Wikidata
Q2919885,Q2919885,Ecuador,-2.0798505,-79.9087754,,,,http://www.wikidata.org/entity/Q2919885,Wikidata
Q2994486,Botanical Conservatory of Brest,France,48.4021,-4.4473,http://www.cbnbrest.fr/,1975-01-01,,http://www.wikidata.org/entity/Q2994486,Wikidata
Q2879615,Munda Wanga Trust Botanical Garden,Zambia,-15.41666667,28.28333333,,,,http://www.wikidata.org/entity/Q2879615,Wikidata
Q2878518,Central Botanical Garden,North Korea,39.06816,125.81704,,,,http://www.wikidata.org/entity/Q2878518,Wikidata
Q2759819,Botanical Research Institute of Texas,United States,32.741944444,-97.362777777,http://www.brit.org/,,,http://www.wikidata.org/entity/Q2759819,Wikidata
Q3046409,Singapore Botanic Gardens,Singapore,1.3151,103.8162,https://www.nparks.gov.sg/sbg/,1859-01-01,,http://www.wikidata.org/entity/Q3046409,Wikidata
Q3046409,Singapore Botanic Gardens,Singapore,1.3151,103.8162,https://www.nparks.gov.sg/sbg/,1859-01-01,,http://www.wikidata.org/entity/Q3046409,Wikidata
Q2745210,Mitchell Park Horticultural Conservatory,United States,43.0264,-87.946,,,,http://www.wikidata.org/entity/Q2745210,Wikidata
Q2689996,TU Delft Hortus Botanicus,Netherlands,52.0075,4.371111,https://www.tudelft.nl/hortus-botanicus/,1917-01-01,,http://www.wikidata.org/entity/Q2689996,Wikidata
Q3075676,Kaisaniemi Botanic Garden,Finland,60.1722,24.9475,https://www.luomus.fi/en/kaisaniemi-botanic-garden,1829-01-01,,http://www.wikidata.org/entity/Q3075676,Wikidata
Q3075676,Kaisaniemi Botanic Garden,Finland,60.1722,24.9475,https://www.luomus.fi/fi/kaisaniemen-kasvitieteellinen-puutarha,1829-01-01,,http://www.wikidata.org/entity/Q3075676,Wikidata
Q3075676,Kaisaniemi Botanic Garden,Finland,60.1722,24.9475,https://www.luomus.fi/sv/kajsaniemi-botaniska-tradgard,1829-01-01,,http://www.wikidata.org/entity/Q3075676,Wikidata
Q2994484,National Botanical Conservatory of Bailleul,France,50.74666667,2.75305556,https://www.cbnbl.org/,,,http://www.wikidata.org/entity/Q2994484,Wikidata
Q2859694,Arboretum Saint-Antoine,France,48.041666666,3.911944444,,,,http://www.wikidata.org/entity/Q2859694,Wikidata
Q3034600,Domaine du Café Grillé,France,-21.30676,55.42335,https://www.domaineducafegrille.fr/,,,http://www.wikidata.org/entity/Q3034600,Wikidata
Q3068815,Jardin botanique littoral Paul Jovet,France,43.4043,-1.6512,http://jardinbotanique-saintjeandeluz.fr/,,,http://www.wikidata.org/entity/Q3068815,Wikidata
Q2887063,Huckleberry Botanic Regional Preserve,United States,37.845,-122.19,,,,http://www.wikidata.org/entity/Q2887063,Wikidata
Q3026688,Zoo Miami,United States,25.61,-80.4,https://www.zoomiami.org/,1948-01-01,,http://www.wikidata.org/entity/Q3026688,Wikidata
Q2842754,Hokkaido University Botanical Gardens,Japan,43.063892,141.3426479,https://www.hokudai.ac.jp/fsc/bg/,,,http://www.wikidata.org/entity/Q2842754,Wikidata
Q2842754,Hokkaido University Botanical Gardens,Japan,43.063892,141.3426479,https://www.hokudai.ac.jp/fsc/bg/index_e.html,,,http://www.wikidata.org/entity/Q2842754,Wikidata
Q2886410,Lotusland,United States,34.443,-119.657,,,,http://www.wikidata.org/entity/Q2886410,Wikidata
Q2836840,Q2836840,Pakistan,31.41649983,73.0772,,,,http://www.wikidata.org/entity/Q2836840,Wikidata
Q2843476,Rio Grande Botanic Garden,United States,35.0933,-106.681,,,,http://www.wikidata.org/entity/Q2843476,Wikidata
Q3003810,Denver Botanic Gardens,United States,39.732265514,-104.960619226,http://www.botanicgardens.org/,1951-01-01,,http://www.wikidata.org/entity/Q3003810,Wikidata
Q2883914,York Museum Gardens,United Kingdom,53.9614,-1.08806,https://www.yorkshiremuseum.org.uk/york-museum-gardens/,1835-01-01,,http://www.wikidata.org/entity/Q2883914,Wikidata
Q2915575,Queen Sirikit Park,Thailand,13.80666667,100.55,,1992-01-01,,http://www.wikidata.org/entity/Q2915575,Wikidata
Q2859708,Arboretum de Ripaille,France,46.39154444,6.50088056,,1930-01-01,,http://www.wikidata.org/entity/Q2859708,Wikidata
Q2881810,Bambouseraie de Prafrance,France,44.0703204,3.9772224,https://www.bambouseraie.fr/,1856-01-01,,http://www.wikidata.org/entity/Q2881810,Wikidata
Q3031554,Omora Ethnobotanical Park,Chile,-54.938461,-67.626469,http://www.omora.org/,2000-01-01,,http://www.wikidata.org/entity/Q3031554,Wikidata
Q2839423,Wentworth Castle Gardens,United Kingdom,53.524922,-1.519734,https://www.nationaltrust.org.uk/wentworth-castle-gardens,,,http://www.wikidata.org/entity/Q2839423,Wikidata
Q2969934,Château de Mongenan,France,44.696111111,-0.430833333,http://www.chateaudemongenan.com/historique.htm,,,http://www.wikidata.org/entity/Q2969934,Wikidata
Q2747212,National Kandawgyi Botanical Gardens,Myanmar,21.996027777,96.46775,,1915-01-01,,http://www.wikidata.org/entity/Q2747212,Wikidata
Q2889004,Unellez Botanical Garden,Venezuela,8.63527778,-70.24916667,,1979-01-01,,http://www.wikidata.org/entity/Q2889004,Wikidata
Q3028259,Botanical Garden of São Paulo,Brazil,-23.639,-46.6203,https://jardimbotanico.com.br/,1938-01-01,,http://www.wikidata.org/entity/Q3028259,Wikidata
Q2859714,Arboretum des Grands Murcins,France,46.2036,5.1426,,,,http://www.wikidata.org/entity/Q2859714,Wikidata
Q3065485,Jardin botanique de Bayonne,France,43.4923,-1.4793,,,,http://www.wikidata.org/entity/Q3065485,Wikidata
Q2944918,Jardin botanique de la Presle,France,49.148265,3.923042,,,,http://www.wikidata.org/entity/Q2944918,Wikidata
Q2859697,Arboretum Vilmorin,France,48.749879,2.268323,,,,http://www.wikidata.org/entity/Q2859697,Wikidata
Q2692902,National Capital Botanical Gardens,Papua New Guinea,-9.4655,147.1969,,,,http://www.wikidata.org/entity/Q2692902,Wikidata
Q2917011,Botanical Garden of the University of Latvia,Latvia,56.9502,24.0599,http://www.botanika.lu.lv,1922-01-01,,http://www.wikidata.org/entity/Q2917011,Wikidata
Q2994530,Conservatoire du Bégonia,France,45.9245,-0.9558,http://www.ville-rochefort.fr/culture/equipement/begonia,,,http://www.wikidata.org/entity/Q2994530,Wikidata
Q2859700,Arboretum d'Harcourt,France,49.173,0.788,,,,http://www.wikidata.org/entity/Q2859700,Wikidata
Q2859715,Arboretum du Chêne-Vert,France,45.881111111,0.7206,,,,http://www.wikidata.org/entity/Q2859715,Wikidata
Q2945663,Centre Horticole de la Ville de Paris,France,48.7486,2.3389,,,,http://www.wikidata.org/entity/Q2945663,Wikidata
Q2919730,Chicago Botanic Garden,United States,42.1475,-87.789722222,https://www.chicagobotanic.org/,1972-01-01,,http://www.wikidata.org/entity/Q2919730,Wikidata
